	sub	arousal	attractiveness	dominance	trustworthiness	valence
id-1354_AU10Open-66_AU13-66_AU15-33_AU2-66	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU11-100_AU15-100_AU4-66_AU9-66	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU12-33_AU13-33	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU12-66_AU15-66_AU2-66_AU5-66_AU9-66	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU13-66_AU24-100_AU27i-66	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU14-100_AU2-100_AU20-100_AU4-66	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU14-66_AU7-100	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU15-33_AU17-66_AU25-100_AU9-33	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU16Open-33_AU20-33_AU25-100_AU7-66	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU16Open-66_AU27i-33_AU5-100	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU20-100_AU43-66_AU9-33	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU6-100	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1355_AU10Open-100_AU12-100_AU27i-66	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU10Open-100_AU2-33_AU20-66	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU10Open-33	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU11-100_AU15-100_AU2-66_AU25-33	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU12-100_AU26-33_AU5-66	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU12-66_AU13-100_AU27i-100_AU5-100	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU13-33_AU15-100_AU2-100_AU20-66_AU4-33	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU13-66_AU14-100_AU15-100_AU7-33	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU13-66_AU2-66_AU6-33	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU14-33_AU7-100	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU15-100_AU17-66	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU2-66_AU4-100_AU6-33	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU24-66_AU25-100_AU43-33	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1355_AU26-33_AU7-100	sub-01	0.44565106191431025	-0.22625000000000006	-0.325	-0.1875	0.20788468817776323
id-1356_AU1-33_AU12-33_AU24-33_AU6-100	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU10Open-66_AU22-100_AU4-100_AU7-33	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU11-100_AU12-33_AU25-66	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU12-33_AU15-66_AU16Open-66_AU6-33_AU9-100	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU12-33_AU17-66_AU5-33_AU9-66	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU12-33_AU43-33	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU13-100_AU15-33_AU16Open-100	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU13-100_AU25-33_AU26-100	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU14-33_AU15-33_AU2-66_AU5-66	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU15-100	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU2-33_AU24-100_AU7-100	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU20-33_AU27i-66_AU4-66_AU43-33	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU22-100	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU24-33_AU27i-33	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1356_AU6-33	sub-01	0.5129078727953513	0.06874999999999998	-0.11375000000000002	0.1087499999999999	0.2554400090027418
id-1358_AU1-33_AU4-33_AU9-33	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU1-66_AU13-100_AU24-33_AU26-33	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU10Open-33_AU22-100_AU6-100	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU11-100_AU12-100_AU14-100_AU16Open-66_AU6-100	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU11-33_AU2-100	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU12-33_AU25-33_AU6-33_AU9-33	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU12-66_AU24-33_AU26-100_AU7-33	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU13-33_AU15-33	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU14-100	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU15-33_AU22-100	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU15-66_AU2-33_AU26-66	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU16Open-33_AU17-33_AU2-100	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU16Open-66_AU43-66	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU2-33_AU4-33_AU9-100	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1358_AU2-66_AU22-33_AU7-66	sub-01	0.5027174469042844	0.3162499999999999	0.0024999999999999467	0.04625000000000001	0.04212042701640955
id-1360_AU1-100_AU11-66	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU1-100_AU13-66_AU27i-100_AU4-33_AU9-100	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU1-100_AU17-100_AU2-66	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU1-33_AU15-33_AU26-33	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU1-66_AU14-66_AU15-66	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU10Open-66_AU20-33	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU11-100_AU16Open-66_AU22-100_AU25-66_AU26-33	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU11-33_AU25-100	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU12-100_AU43-66_AU7-33	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU13-100_AU2-66_AU24-33	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU14-33_AU5-66	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU16Open-33_AU20-66	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU2-100_AU26-33	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU24-66_AU26-33_AU5-100_AU7-33	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1360_AU6-33_AU9-33	sub-01	0.3831497831157671	-0.32875	-0.17625000000000002	-0.29125	-0.2445702213856038
id-1361_AU1-100_AU17-66_AU27i-33_AU5-66	sub-01	0.5434791504685518	0.40125000000000005	0.05625000000000002	0.23624999999999996	0.08288213058067685
id-1361_AU1-66_AU17-66_AU6-66_AU7-100	sub-01	0.5434791504685518	0.40125000000000005	0.05625000000000002	0.23624999999999996	0.08288213058067685
id-1361_AU10Open-33_AU11-100_AU13-66_AU17-100_AU7-66	sub-01	0.5434791504685518	0.40125000000000005	0.05625000000000002	0.23624999999999996	0.08288213058067685
id-1361_AU10Open-33_AU11-100_AU13-66_AU2-100	sub-01	0.5434791504685518	0.40125000000000005	0.05625000000000002	0.23624999999999996	0.08288213058067685
id-1361_AU10Open-66_AU11-66_AU15-100_AU2-100	sub-01	0.5434791504685518	0.40125000000000005	0.05625000000000002	0.23624999999999996	0.08288213058067685
id-1361_AU11-100_AU12-33_AU13-33	sub-01	0.5434791504685518	0.40125000000000005	0.05625000000000002	0.23624999999999996	0.08288213058067685
id-1361_AU12-33_AU13-100_AU4-100	sub-01	0.5434791504685518	0.40125000000000005	0.05625000000000002	0.23624999999999996	0.08288213058067685
id-1361_AU12-33_AU15-33_AU16Open-100_AU6-66	sub-01	0.5434791504685518	0.40125000000000005	0.05625000000000002	0.23624999999999996	0.08288213058067685
id-1361_AU13-33_AU5-66_AU6-66	sub-01	0.5434791504685518	0.40125000000000005	0.05625000000000002	0.23624999999999996	0.08288213058067685
id-1361_AU13-66_AU6-33	sub-01	0.5434791504685518	0.40125000000000005	0.05625000000000002	0.23624999999999996	0.08288213058067685
